ta_name,year_period,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19
Ashburton District,2022-2023,6072153.823089001,2.6491717335046142E8,1212776.9296875,3.316548068794999E7,9656921.200652957,3.1952448652566445E8,2.200529444470876E8,1.2363051699057907E7,2.0518860269824214E7,6003423.568204274,1374701.1793715535,4.556898938858381E7,1175746.1338656556,1.592976243840763E7,4847135.201696538,1.1284961731176278E8,3.1428847052992877E7,223614.048828125,9818285.556483611,1.7921313894232538E7
Timaru District,2022-2023,2473387.443225337,6.454582470653913E7,537224.6401367188,1.7644976423205808E7,534007.8472962623,6.908145800127529E7,7.507648497387406E7,2583178.5395373777,4215945.901271447,317146.9977136949,3168583.8100585938,9004650.580951286,359898.408203125,8402231.23047641,726078.6083984375,6.299798086249808E7,5509172.150189568,,2581259.5320216753,2995120.5064510573
Mackenzie District,2022-2023,1.0742892213664217E7,5.255851117486979E7,819028.232421875,1.928638574769646E7,783574.6840820312,4.4356060348018155E7,4.396547943776425E7,1135866.06640625,2122717.430503217,695717.501953125,3591618.9506644453,1.2422260023064109E7,287178.6162109375,2.787549481359528E7,2083266.966796875,4.078802530726295E7,2655417.3455097275,322748.61328125,4.478586477883923E7,4500922.491151578
Waimate District,2022-2023,4690879.99564951,7.150985325148974E7,256094.6494140625,2.901926553789637E7,361346.60184780945,6.282833823096278E7,6.424034579240387E7,1245768.0178883271,8403892.910158165,128087.78466796875,3219849.2094726562,1.2800944761864277E7,,4015731.0019971663,256504.91357421875,7.540889646672602E7,5113850.304919194,14267.7646484375,1432603.7947189033,7265157.201549098
Hurunui District,2022-2023,1953625.0279660693,4.513931313415862E7,3130554.0717773438,4748536.298828125,2075188.1655273438,6.326634676801279E7,7.66769470954542E7,3271485.2963465075,3236115.932418045,4218804.681152344,1.2057909935135188E7,1.6053053258300781E7,2419268.7836914062,2834448.304308364,2065585.4038085938,6.707542774255132E7,9875231.651194852,2250238.9790039062,674673.5317382812,1.5977094022039674E7
Waimakariri District,2022-2023,1076026.7873200062,2.8439352602523744E7,523935.73095703125,4485839.849061734,593870.5877661612,3.7029458236180685E7,4.2442954872939646E7,2278778.203580729,1923691.2180721508,1007867.0478362439,3511447.317101333,9975542.469021905,65668.80608340993,713102.0029296875,865987.6416015625,2.1973885825708486E7,6431225.494893153,14542.25390625,249761.46079388788,4884526.9423828125
Christchurch City,2022-2023,2367953.185531556,6692978.8010589,,3154930.294678692,326024.90087890625,2533445.3977979477,2269526.4328929237,1745931.7358283547,1522632.5754499848,14424.97705078125,2066127.0917892153,675132.0988702512,14483.119140625,248613.2492800245,87064.9951171875,4.078184115363051E7,390545.13916015625,,455285.30005744484,584600.3422851562
Selwyn District,2022-2023,9390787.266293272,1.392904968425532E8,754713.34375,2.4268533788302314E7,5289097.8200233625,1.1956463498430988E8,9.535236617455956E7,9863743.53985907,1.0534291327368645E7,2211345.2373046875,2646715.1774165137,2.5013082574109603E7,590262.5729990043,4100869.93616345,1715972.788715916,1.0252039084134689E8,1.3974799215332031E7,268468.95166015625,6178859.027395451,1.0887254676275276E7
Ruapehu District,2022-2023,,1.287744472075291E7,2309881.6528320312,1637120.1352539062,576713.9621974571,9067393.80622702,1.28021664599303E7,115939.2412109375,61819.46484375,1.64416846625517E7,3.3378375982299328E7,5091705.622797947,1.2282467909995405E7,366409.6838139553,5210939.167938112,8861391.97421875,1.5673779186422145E8,1.8438755512907855E7,38743.2744140625,9.934145195852864E7
Thames-Coromandel District,2022-2023,,684583.7104492188,1.1632228399597887E7,,,1975992.194318704,965677.7451171875,,31906.83544921875,1.069826440128102E7,4.192411279357E7,1281900.3693014705,812533.1533203125,7998.05029296875,8206796.906117877,1666644.8928481159,2.4021508013779107E7,1.8116051035993032E7,23968.0810546875,8.200304501800512E7
Hauraki District,2022-2023,,301868.1123046875,1828706.1694776346,,47718.53955078125,4675020.464453125,559245.7062231924,31719.02734375,,1.7164751388574217E7,4716227.083865656,833143.1020507812,8648659.591869636,119065.74462890625,2905230.5963924634,1048194.8710209866,2.6266270888725493E7,1.6318238511319888E8,,3.6380260450790447E8
