ta_name,year_period,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19
Ashburton District,2020-2021,7.52531543316234E7,1.8429010771582026E7,842991.8372376685,836878.396484375,8.685969763839039E7,2.7432511293464684E8,8.771550543772595E7,2550057.953172871,7235044.6115693925,3.248220998307675E7,3719145.306640625,1.1176707361559821E7,346715.9841375613,3.179992703671875E7,3.3697337134851027E8,2.195461089418275E8,1.1346403999023438E7,1110743.4895622702,1.291672594033203E7,4.219497589690372E7
Timaru District,2020-2021,9.173968986605775E7,5883041.013116574,193696.53173828125,5441027.787316177,4.503009043110256E7,6.619571133273782E7,5.531031132842945E7,281714.24181219365,3032188.9437040444,8938805.03186849,1066317.537522978,1808095.1171875,168432.18293887866,1.4575468858126532E7,7.551145552326515E7,5.454547282592103E7,1025034.693359375,142426.64030139399,4873132.657714844,5026331.405118337
Mackenzie District,2020-2021,5.480588888345206E7,1.683790958253485E7,,6222094.571777344,7.762492965164867E7,2.7879726785309438E7,3.380008267829159E7,1158069.6694335938,6796067.097167969,2437444.994542739,4275233.723324525,2509375.7477481617,5305233.188964844,5.011799074183518E7,3.0935750874597885E7,5.316958746759919E7,517838.94287109375,523332.083984375,1.7366285467097502E7,1761025.74609375
Waimate District,2020-2021,1.4505838565705228E8,6870085.102081418,156640.5947265625,3788761.8041992188,6.6341667321649045E7,5.699544265953584E7,4.404527619015777E7,293370.5865272672,2773191.125823376,8386286.896402038,1955747.536896829,1540597.9043045342,235156.4547009038,2576723.821277574,6.5727076082745485E7,4.4788911816115186E7,947794.9935968138,394543.3334233303,2113601.8754882812,6042101.191894531
Hurunui District,2020-2021,9418656.300178079,1847539.696876915,872237.4716796875,1.796233136582031E7,5.375256930315563E7,3.6642497185127534E7,5.213366492347732E8,4544000.490234375,1317800.988715916,3.235834089834176E7,1473300.7119140625,5401437.832021676,697809.8569335938,4000950.6379653034,6.620007695344477E7,6.082945835975605E7,5591169.530803845,5747758.103515625,1606126.81289254,2338083.2552159927
Waimakariri District,2020-2021,1.703097617995941E7,1911596.4308689493,54679.11981464461,1927844.5413488052,2.0980277706537224E7,3.2547459642310053E7,1.0305483001043008E8,488974.12913985905,1038066.5083620558,1.3230836320084633E7,1156971.3842773438,1702206.1475624235,14545.7392578125,1143903.3253159467,5.285269716749196E7,4.656028351134727E7,1223366.9242570465,426168.29643841914,1012078.3393152574,2554023.6290996475
Christchurch City,2020-2021,3578421.6241115197,1376510.8861538756,,3147144.4541015625,3.2885220433488432E7,2369997.486515778,4856058.911663219,2366544.0925723803,1976381.2928576898,405504.7724609375,238753.82666015625,1897147.1138767616,173979.4375,2699097.7472445616,3301006.26741345,7647673.490439262,166731.01025390625,217645.69677734375,1557870.2472349878,398758.47119140625
Selwyn District,2020-2021,4.031655145755017E7,1.4772400280602789E7,1007452.1530732997,5571693.801799939,7.892037037550935E7,1.0773918292181562E8,1.127940499469286E8,5662502.131581267,5465845.770076977,2.123853165701593E7,5349251.387207031,1.165753522522595E7,423285.46461971506,1.2325114380847886E7,1.5501694738342345E8,1.0537023933899738E8,5361567.569824219,1672259.90451708,7418909.505411305,1.4617645329471124E7
Ruapehu District,2020-2021,517941.45458984375,116164.2353515625,2446425.4770507812,2.2573982568267465E7,2.2301255701005287E7,5941079.149371936,1.2910445364778645E7,1449603.0533854165,342638.02681142767,1.6080044555585556E7,4663228.667252604,649533.8192842371,455010.42822265625,1653740.8813476562,1.3103879516666666E7,2.703287334250919E7,5528543.673611749,7127676.695961626,108481.31201171875,867437.2600011489
Thames-Coromandel District,2020-2021,254913.0640146293,111720.3544921875,716726.1743164062,7214710.327328431,6114984.658691406,1203129.34765625,780877.0756835938,55745.64111328125,7999.61376953125,9889006.902493108,1028297.8803710938,39845.46533203125,,151765.78369140625,87593.34765625,2850158.3779296875,1.2212807948671108E7,1443318.3766888788,,3958815.872480086
