ta_name,year_period,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19
Ashburton District,2019-2020,2.261631905851218E8,5643670.118143,1817590.4970703125,1.3018308620549938E8,2.3144103153693706E7,7.38913754988243E7,2.72205271542042E8,6164962.377801394,2.0357564194906555E7,4.338035461180492E7,2551977.1697859224,8661002.196390549,1647879.1455078125,1.9933316490052454E7,6354909.566988357,1.2405740203499925E8,1.3508670635916057E8,169025.01114430148,1.7796056996884577E7,2.3225692042867266E7
Timaru District,2019-2020,6.2267715282733984E7,2138250.058928845,530898.5810546875,1.0398594419987363E8,6373078.9739813125,1.8775415101349957E7,8.437727105881396E7,576818.983281633,7673805.832002527,1.0940944016909849E7,893395.9887197457,1881832.5356158088,163111.85228056065,2525343.991614966,912958.4279718138,4.116195039996745E7,4.137772754893727E7,66733.03426393995,3634173.0197131587,9456045.849320237
Mackenzie District,2019-2020,2.9902186999494486E7,1560045.69140625,453453.884765625,5.067664202750076E7,9337126.734240962,1.0612645447154565E7,5.310268483009727E7,1304461.4125976562,9989297.94987362,1.0352664589052927E7,3268774.742800245,1775184.248439415,158271.7216796875,2.7581886375354234E7,523121.51904296875,4.0802251131567866E7,3.0316685260476023E7,172883.71875,3889790.445109528,5837233.010577512
Waimate District,2019-2020,4.8141360763068706E7,2015757.2135512407,967271.5263671875,1.9335246551246932E8,5830079.1745595895,1.846851690764974E7,8.635412111352633E7,305926.42626953125,4533149.972763481,1.7656669018905103E7,1644935.0911228554,1959671.6371132047,220475.21484375,2992603.2201918657,562923.2154181985,3.832390226306489E7,3.3167051897259884E7,149245.5263671875,3586749.7685891544,1.8052391403377756E7
Hurunui District,2019-2020,4.3720232939761415E7,431857.9337028952,1869919.6967773438,3.4814549711521514E7,998141.1987304688,2171933.989016544,6.3011849602248006E7,2648585.2763671875,3724515.0651769303,1.4604840726466757E8,256508.40234375,2905808.3662109375,1908008.8393554688,2.0109542126390167E7,5838399.059794348,2.8384705307100184E7,6.448309184180262E7,2240248.5576171875,2730403.7485351562,2.612323109801854E8
Waimakariri District,2019-2020,3.2235835588781018E7,647452.7568359375,203808.6015625,3.454591856274509E7,1692585.8534754135,4586297.057762714,3.80251111170841E7,1153280.960535386,2289720.402786075,1.9403174490086935E7,638960.744140625,729975.8346066943,232853.279296875,1586052.406878064,1679416.2573242188,2.123967381025199E7,2.726993400284735E7,58205.1162109375,842710.3906173407,1.1059285287534466E7
Christchurch City,2019-2020,1991612.8585880054,333187.01806640625,210368.02978515625,1.6883763303465843E7,2684759.8019129136,1494202.9467237287,1.8652406406117875E7,862266.2152477788,2683732.101545267,3471433.3412932754,202220.16357421875,772697.3872070312,,3241569.399812347,144469.54248046875,7709994.060016467,1906310.1819221047,,1479805.9179591758,2083638.75390625
Selwyn District,2019-2020,8.392079289279068E7,3026481.4588388484,630376.3987381281,8.550113983570197E7,1.4830562758599494E7,3.1043089232680377E7,1.425871933023265E8,4001895.908836933,1.227648887378217E7,4.991976188116382E7,3547889.63030216,5269202.354011565,710888.1313476562,2.013188510574641E7,5234930.806594669,8.309762475296989E7,6.756261235335478E7,1195241.894720818,1.200778779667586E7,3.059283427244562E7
Ruapehu District,2019-2020,1.3373173133170573E7,116123.48876953125,6429182.297215839,1743564.892578125,201352.13916015625,448468.48544347426,2.5997716808628216E7,411019.3255035999,4827734.8308000155,1.3881757738336781E7,154721.3408203125,741108.20703125,1082174.4721679688,2312747.1198050706,2049166.2553710938,1.059833672087163E7,4.5492339300723806E7,1476550.7448510262,108106.61767578125,2.320779510047105E7
Thames-Coromandel District,2019-2020,39800.43212890625,23896.6865234375,621095.2758789062,518797.49755859375,7976.74609375,71595.392578125,6779788.1634823065,15978.05029296875,1122617.9809570312,7903500.433947993,7992.15869140625,87848.0400390625,318961.93857996323,,63924.66552734375,1143803.074186198,5919476.852830117,327211.21178768383,47908.0419921875,3.382873890107614E7
Hauraki District,2019-2020,95336.99658203125,,990602.335033701,757560.4149739584,39686.82861328125,475792.41852022056,2177572.036345358,63485.64208984375,241856.49924364276,2.4495633783997774E7,,86062.61040709252,775032.4963714001,127179.6259765625,15881.634765625,7266566.370576747,5728872.108191635,150872.201171875,184718.80422794117,2.0134487344831884E7
Waikato District,2019-2020,3018599.648224954,253707.66845703125,3743582.456171492,8790301.698077513,935079.4897460938,2187043.580522365,2.3092587307075292E7,934293.4570695464,2511693.2143554688,1.0335119684021139E8,251137.14767156861,2772649.467392387,1537243.4763633579,681947.16796875,2625951.8804783244,3.583742134252643E7,3.0734946080911078E7,4658080.32890242,1833449.5301298255,3.1970539888939954E7
Matamata-Piako District,2019-2020,2294063.0015318627,149831.67529296875,260662.0234375,2393439.824004289,110589.25390625,600014.2490234375,4471509.596811811,497399.31591796875,1287057.4267578125,2.8112986326302074E7,15779.24462890625,213044.06005859375,411081.783203125,71056.6572265625,213300.06494140625,1.90316381391659E7,6692856.483620558,323925.99169921875,789463.1987304688,5218045.590887331
Hamilton City,2019-2020,37298.02786841299,,94691.79296875,40576.3939989277,,7884.3408203125,111829.03446499695,31560.94873046875,,2127286.4017693014,,63119.62744140625,78855.57421875,,71013.6728515625,840567.1329388787,276101.52978515625,382475.68462584255,,117266.79161305146
Waipa District,2019-2020,1260581.807944623,,558904.826171875,1550634.99397212,47125.10986328125,586996.3029411765,2596211.546821385,196831.1923828125,449097.75341796875,4.287153003727597E7,7866.9365234375,259874.90576171875,337390.43697725184,31498.02734375,283498.05859375,9811224.815515853,7017268.55474303,438152.6407839308,362136.296875,7685973.043757659
Ōtorohanga District,2019-2020,1927570.0621476714,7855.455078125,247990.2671606924,1518705.6027918197,54965.544921875,243333.14501953125,3338706.0285003064,196346.328125,114616.42060546875,9648172.737101715,39204.35107421875,164945.40576171875,94180.572265625,7857.6396484375,243361.86328125,4730037.71115962,9761671.31656518,390863.1296817555,54981.02392578125,3467248.438378906
South Waikato District,2019-2020,4416503.594508272,540800.869140625,1.1538260548962165E7,4120980.174015778,572462.4057617188,643443.9038085938,3.2247678775089998E7,164649.55712890625,1.925362701715686E7,1.3400233388604857E7,266734.8623046875,234448.94318895528,438990.75390625,219434.7021484375,792218.0209960938,1.3748495759013096E7,2.4815749093225338E7,737280.0922851562,900226.213103171,4.2019217109811574E7
Waitomo District,2019-2020,3283749.5162683823,31283.34912109375,563129.6005859375,2673105.964363128,328963.541015625,156434.4267578125,1.3232971124858301E7,125389.28515625,901313.5356445312,5855882.331238511,145820.87577550553,328639.32373046875,187830.39501953125,62752.01220703125,515992.9794921875,4168665.587756587,1.3797845183369715E7,1306992.9672851562,54916.14404296875,8735777.307490809
