ta_name,year_period,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19
Ashburton District,2021-2022,7685243.450970817,7.077670152313112E7,5.611174462319049E7,2.244595005175685E8,8279088.724609375,6033858.458312269,9.05800220705078E7,2.691027865499004E7,3574925.077261413,1.955121763417969E7,2785602.870413986,1.412213373236635E7,2.391102174219784E8,8425646.583710555,2657345.2167624077,3.4427662011731195E8,6.391799066705538E7,2799973.5066157323,899712.8157284007,1.1546498393284695E7
Timaru District,2021-2022,7413846.9035252,1.3899073095712699E7,1.3187640856973805E7,5.0871995788903564E7,5035230.745835248,1378752.96897212,6.838234527962622E7,3113351.014702053,684655.7118393842,4482993.6757199755,617424.6831054688,2229644.74966682,1.2036398875824139E8,1946794.2798579196,215574.85791015625,9.343262382974686E7,3.460053729512484E7,947366.322053079,57564.78125,5726851.039175475
Mackenzie District,2021-2022,6663856.275878906,6369107.17556679,4978333.469810815,2.6092954709597122E7,6584451.890625,3774328.1227845433,7.40825194424843E7,2912406.2202148438,3045363.7172851562,7984032.823560049,215787.658203125,1221363.1401367188,7.106937809730393E7,2.2810083485479854E7,2746786.845703125,4.5407014446629904E7,2.7609933735539217E7,2795086.7778320312,1456866.0331571691,3762741.8291015625
Waimate District,2021-2022,7985539.8564453125,2.2621244830620017E7,1.2576552746616498E7,4.162873378777957E7,6326335.294829963,1747569.658938419,5.133635744933556E7,2109118.067108992,797506.1119025735,6025637.311894914,575959.9711914062,1565297.0864257812,9.340883749114966E7,6916068.584859451,192106.13671875,8.138687405291246E7,2.8996048383354396E7,2076341.2138671875,588296.0246342678,5099308.733970972
Hurunui District,2021-2022,2.223485607925858E7,1.1409238415879672E7,2.0554839969247855E7,6.446067336621094E7,1.1978343786745558E7,337609.146484375,1.7992869842494833E8,5106344.388671875,2366978.637635953,1.904393263263059E7,387782.7023571538,5340366.645850567,9.86104706997817E7,1613815.8886316638,1202435.5258195465,6.850003893777192E7,6.3248664213589534E7,799604.5219726562,22004.787109375,3363931.484106924
Waimakariri District,2021-2022,5360700.7300302535,8405164.47846584,7778057.716465609,3.986291734145221E7,3422027.720299096,94211.33773743873,8.671139045714997E7,2681268.9541034773,168273.28521560968,1.1752612287408087E7,532110.3533069086,2430081.142511106,3.929209800792356E7,878761.4172123927,895454.9922468597,4.612193322915901E7,1.7806118328174785E7,116299.935546875,14553.6982421875,1639091.4289330575
Christchurch City,2021-2022,3082829.778079044,2142647.9549919576,1699583.8951037838,3558686.499597886,2479903.3868106618,115954.29150390625,9.492384993110631E7,1035521.0352577359,492047.68603515625,1.0669353925430838E7,28995.75732421875,1035545.089520144,5398106.212145757,84292.42353898591,3940300.41853171,5023256.58175743,3640361.3754250924,79507.341796875,,1691721.8154641544
Selwyn District,2021-2022,9154823.141934741,3.771130807213158E7,2.568908346885723E7,1.0398343481315103E8,5681413.8569259355,1975806.5538181681,1.640921785882889E8,1.1603188773650048E7,3315882.735836014,3.7818814852192484E7,1042918.3169155944,1.0230532512138097E7,1.0268657375203738E8,4838712.143121936,5690668.14503102,1.486392013150946E8,3.871273759552696E7,3083984.2629825366,958190.9110026042,8051259.918964462
Ruapehu District,2021-2022,1.861171715415135E7,2958414.047903263,2.729154790339116E7,2.414603630762676E7,1.5491075022506893E7,115836.64208984375,7585850.425201057,943150.3823299633,2466427.1450195312,1299389.6083984375,3616066.2477615657,69541.03515625,1.8790168750317864E7,503407.10953010106,77476.90380859375,7260561.550806142,1947868.4743834252,1392805.9802159928,742751.4370117188,2950041.228640089
Thames-Coromandel District,2021-2022,6304107.999563419,87826.10888671875,3430457.5396158854,566727.681640625,4522038.0703125,,6249379.09531633,119705.46337890625,500603.13027535233,7904600.395571002,310336.02001953125,39868.427734375,1492916.587890625,47985.44384765625,135854.84521484375,597584.5541992188,1876393.5951439952,7959.97900390625,,2397857.232647825
