ta_name,year_period,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
Ashburton District,2022-2023,1.783588302828834E8,2.1807154507402726E7,1.2397612379231771E7,4.618549521489163E7,2.9615993691555417E8,2.2262609268324904E7,3.495948766345569E8,4.432255048706533E7,6.2276144699140236E7,1.0126007431885341E8
Timaru District,2022-2023,6.0141720921627976E7,1.0303783440356925E7,2199284.6831054688,1.6028537666274128E7,5.828551834699947E7,4398334.030847887,1.4695716389933744E8,6000323.455150888,1.5928284393501073E7,1.251166032612209E7
Mackenzie District,2022-2023,6.481402108809169E7,1.3659109447729014E7,1557273.2529296875,5.89326850048043E7,4.219453950966031E7,4614272.102050781,8.4957935854699E7,1.1710807416015625E7,2.3008406112657014E7,1.0329980955118336E7
Waimate District,2022-2023,8.139854938048597E7,8306178.384187346,947060.5112304688,1.1114207130273439E7,5.508272806985294E7,1658389.5057655484,1.4693014728288722E8,4502709.273205806,2.354153492532552E7,1.873017372863434E7
Hurunui District,2022-2023,3.082325219358916E7,1.937404938354971E7,4907208.767578125,6053297.835719209,7.137559029727712E7,1.652112086328125E7,1.3937408239828432E8,1.3524648558273975E7,8170765.374412147,2.8875832411448758E7
Waimakariri District,2022-2023,2.3387215284085866E7,6256131.982014017,1913838.9907226562,2167875.5415039062,3.560787493112362E7,3936123.690835631,6.575297034818283E7,4668324.620672488,8440339.412852328,1.6356770548667278E7
Christchurch City,2022-2023,9107532.45445772,2893723.3993068323,28863.53857421875,750127.9066980699,2169563.917267923,164736.84542547486,4.477908029652841E7,1539878.7816482845,3444902.123477712,1053131.5271139706
Selwyn District,2022-2023,1.2143470041682744E8,1.2111839654517079E7,4567572.841927083,1.2568735678423714E7,1.0535353565367071E8,6889241.643355546,2.163466089168447E8,2.3792057678404566E7,3.5144323494571455E7,4.620807010719593E7
Ruapehu District,2022-2023,1953715.0169117646,3.916564403295229E7,1.8595729653908163E7,1213341.4293504902,3.7533937519360825E7,2.148292644243643E7,1.1886222634436276E7,2639504.1999674477,286619.76025390625,2.608805563673579E8
Thames-Coromandel District,2022-2023,,4.7554293539043345E7,1.6714771230426624E7,,2.2714161565489054E7,7798589.488355928,2142803.1976639093,8013.29443359375,103552.58935546875,1.0701702669572797E8
Hauraki District,2022-2023,47718.53955078125,6202066.196147365,1.0864432169127224E7,182571.56787109375,1.4658124535253146E8,2.009331606358762E7,1376153.756470205,47607.7646484375,15859.513671875,4.1071983998397857E8
Waikato District,2022-2023,134932.87744140625,2.2869931299094286E7,4.758134351683326E7,1827406.3414656096,4.8799080637594414E8,8.61366591848288E7,1.5810422569180837E7,1102785.6625976562,47564.37841796875,1.5114793566093252E9
Matamata-Piako District,2022-2023,,1395201.0330441943,1.1793573542677697E7,418717.4248046875,4.720251876273513E8,3.422287268114851E7,3166707.3994140625,55252.52587890625,,5.314817975733361E8
Hamilton City,2022-2023,,16181.45554151348,598309.4782513788,4610.2361500459565,1.1099420266919425E7,1214264.5122817098,,,,1.4687303394734222E7
Waipa District,2022-2023,,1633452.7792700673,7687914.854898131,259621.1494140625,2.1223520936991626E8,1.4661916343370862E7,1026541.4180127911,31456.31494140625,,3.653598747580807E8
Ōtorohanga District,2022-2023,738646.1186523438,8385657.071275659,9517095.49045841,599189.0640146292,6.198749511192365E7,7948121.705589388,3246194.55379136,557909.4516601562,31400.48388671875,2.663409890838216E8
South Waikato District,2022-2023,15686.6513671875,4.843536504790135E7,2.2586566463239122E7,572960.2758789062,1.2202157689680797E8,4.475816558886527E7,1.0542165144812731E7,399503.775390625,31376.4970703125,1.255627816048445E8
Waitomo District,2022-2023,94156.7333984375,8643221.231445312,8654749.77718099,329086.25390625,3.0312852831186816E7,8333344.161263021,5594738.504480698,259832.44412530636,23557.240234375,5.3152449731659E8
Taupo District,2022-2023,140312.39013671875,3.2547169859724265E8,3.512005659172794E7,1931644.7829388788,2.6736779609776354E8,9.569110114124924E7,2.4400877976560585E7,4462552.823720895,917956.1923828125,5.81453227522568E8
Western Bay of Plenty District,2022-2023,189534.34765625,3.024751402917624E7,1.0779149417260263E7,358163.2262350643,7.96239953887906E7,3.882587095394072E7,9692556.745369945,361887.7590896906,165615.775390625,4.555047657912071E7
Tauranga City,2022-2023,31601.72802734375,659105.0842888328,399469.07500574447,23690.25537109375,5757697.774199602,2667441.8797123926,663436.0473632812,103108.45466452205,,2167808.07739545
Rotorua District,2022-2023,141425.49462890625,8.33755200529584E7,1.392747399853324E7,495329.013928462,1.7253459968245634E8,3.664616814553654E7,8814198.477418428,1301969.7363223806,573621.4370117188,2.1851078310362092E8
Whakatane District,2022-2023,306403.25927734375,1.3835177311932635E8,3.1678837662969142E7,846504.3295898438,1.132655859240368E8,5.777752176905254E7,2.368501969884727E7,3731306.947265625,2974530.2513308055,1.3059605046690597E8
Kawerau District,2022-2023,,364940.45586320467,253234.25314797793,7859.728515625,1715282.358377374,329069.75944967836,15715.56396484375,,2681.3925091911765,3533118.190540748
Ōpōtiki District,2022-2023,283368.822265625,9366385.791310508,5695871.672135416,448940.3378312653,9122457.302320773,5302782.355905332,6264660.640079274,78750.86328125,1218889.8842447917,7700756.362741268
Gisborne District,2022-2023,1342008.9975585938,5.717859453679323E8,8.451022266832107E7,6661931.605957031,6.433384905085018E7,8.38889532758789E7,4.070103102454427E7,3904484.2294921875,4649003.4453125,2.1551588955943054E8
Hastings District,2022-2023,8535418.898303462,1.0622268551852408E8,6.03306465013442E7,3995266.559824985,2.639354772796377E8,5.282505086123813E7,4.280929186598116E7,1.5159770119866347E7,3013850.6550283395,2.4747762094183713E8
Napier City,2022-2023,1140590.7474475338,643041.7136144302,433745.6644933364,77027.294921875,6501238.953772209,1016474.3813361675,648269.221449908,367414.9981502757,231097.07421875,3170815.9068397675
Central Hawke's Bay District,2022-2023,3564970.747811351,1.6375782145121017E7,1.65735366071538E7,1347862.9581456801,2.2253168830103016E8,4.44288545061734E7,4.037397745965456E7,3850936.909455423,956370.7470703125,8.236216310349648E7
Wairoa District,2022-2023,4536521.060983456,6.4935074889460795E7,2.0807717698213466E7,1879828.7395584406,1.0920651840889247E7,8592414.56825406,2.764719244850643E7,3215849.900400199,2289985.2973632812,5.3259676445762485E7
Tasman District,2022-2023,1.385807980078125E7,5.1269569688401885E7,9022717.57421875,4586600.815025659,1.5846201836914062E7,3771417.4169921875,4.4506643224609375E7,1921184.0576171875,1.2418819642578125E7,1.5944725836914062E7
