ta_name,year_period,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
Ashburton District,2021-2022,2.9491857535821855E8,1.0980530112013634E7,3416346.964246324,3.6781036658486515E8,2.5835579693807825E8,5.190262657945198E7,1.0446804933932866E8,8881122.411672793,6.4141236144500636E7,3.962967162757352E7
Timaru District,2021-2022,7.729473064836474E7,2537432.682274433,1837552.4910251992,1.0302441394623545E8,1.1472783616134152E8,1.429849333794424E7,9.272388867201477E7,1253241.774988511,1.0013872172602635E7,1.0876794751150813E7
Mackenzie District,2021-2022,4.2165093585401356E7,2.7131971047503065E7,3413633.8305664062,5.315902382553615E7,7.706063123377374E7,6783501.294362745,8.183200743183404E7,755171.51171875,1.1082312227050781E7,1.8199049909147136E7
Waimate District,2021-2022,7.615754967039675E7,7670760.576372932,2190945.7729492188,9.108482973551625E7,9.515871859837049E7,1.9127051870096125E7,5.878570387251071E7,1059008.7560431985,7277486.789056756,1.544767715324372E7
Hurunui District,2021-2022,1.1425909236465992E8,1650634.5698242188,1020221.9169921875,8.00222848336895E7,1.059825927345301E8,6774078.169433594,2.1038686181859684E8,2874870.611843214,1.816590309533548E7,3.937409013979971E7
Waimakariri District,2021-2022,5.347950042537914E7,1142947.5425168504,148387.12795266544,5.045766341429228E7,4.82682033436332E7,4994664.013715915,8.16867557742513E7,1149191.420770144,9610169.12338197,2.502564465569087E7
Christchurch City,2021-2022,9904340.613865273,57820.06103515625,372076.70278607536,6224974.404574526,1.1015855015485216E7,311440.4228515625,8.121737078829846E7,242877.43121170343,3095849.84815985,2.8679860111153875E7
Selwyn District,2021-2022,1.4610667365489045E8,6060232.42584827,3247380.0339058675,1.6428462645368415E8,1.2493709158568284E8,2.090077655025276E7,1.3710843535082912E8,5181540.752489277,4.0045732100381054E7,7.708822482163757E7
Ruapehu District,2021-2022,6.41925784263959E7,1553096.455723422,4610087.452297794,8930107.440397136,3.2819877459013097E7,4649588.669106158,7276027.407735907,2617347.9680740656,6042452.778385417,5568969.299121094
Thames-Coromandel District,2021-2022,1.0628854499557674E7,39985.921875,398662.89111328125,788765.345703125,7212556.492260263,,5574524.359078201,262919.1630859375,406433.0337048101,1.127950046388442E7
Hauraki District,2021-2022,1.3233206492989814E7,269966.88525390625,1000099.865234375,7589794.233327588,5099776.031133194,75392.26618987438,1052478.7924862131,118027.23155637254,718524.0173387714,2678029.2588943783
Waikato District,2021-2022,9.935519489294961E7,5680286.645911841,1.693976559028799E7,2.3431484298646215E7,2.9259642911950443E7,7303218.642177925,8527158.09993298,2879034.404296875,4559975.267467065,1.61564138328642E7
Matamata-Piako District,2021-2022,2.818843177718482E7,4366329.537597656,6462008.723157935,1.2825997947939645E7,3413146.0522460938,418493.90234375,478812.57677121635,134513.0498046875,782281.9125976562,4410098.842141544
Hamilton City,2021-2022,1856716.9089575675,63102.93310546875,589221.9765050551,304437.60631701903,497828.9906345741,31558.49560546875,31568.57763671875,59844.2073414522,140826.35793887867,173498.8017578125
Waipa District,2021-2022,2.3337142334554996E7,850013.2739257812,7315245.081376379,4266187.399324065,5147303.701821002,480243.81298828125,409516.95068359375,78774.62548828125,654057.259342448,3276200.2946308213
Ōtorohanga District,2021-2022,1.6704672476215916E7,392474.66748046875,2374642.5992359836,3726876.8881855085,7399020.304557292,149168.337890625,1156684.7260167738,221290.37375727636,575092.7325099572,2157010.927397365
South Waikato District,2021-2022,6.326237058068704E7,3162451.802590763,2744894.8582854625,7411578.054997702,3.9043233829361975E7,3803425.710089231,1.8326760168945312E7,1.8478655087689567E7,963551.010368796,5519142.593175551
Waitomo District,2021-2022,4.349364919830729E7,422983.38134765625,2026977.224609375,3052238.066605392,1.132560937387791E7,492755.689453125,627451.8130457262,46988.97607421875,2138000.2708505667,1393883.6391601562
Taupo District,2021-2022,1.9702637228701556E8,7034115.5943206195,8106733.303437117,2.907556367223882E7,1.2661067971142577E8,8506407.478260953,4.683208274236941E7,5.198478399204005E7,4049984.607306985,1.1599061461904489E7
Western Bay of Plenty District,2021-2022,2.8880704087519147E7,459856.63985523896,3111002.449341299,3265801.917894072,2.1039803875394456E7,145908.78264016545,1.1862112692612592E7,5900551.285127528,1213246.933582261,1.5980801423554305E7
Tauranga City,2021-2022,370003.99703201593,,434518.884978171,335608.43097426475,2482322.98849954,7899.703125,198380.1648705576,15797.70947265625,495504.3366976869,1510230.5968788296
Rotorua District,2021-2022,5.483743560950712E7,1891176.7684972426,1829298.1487974878,8829761.274412148,3.610990857688802E7,2511307.957841222,2.047804237607996E7,1.522022395583449E7,674249.2193282782,7932880.271827129
Whakatane District,2021-2022,7.956814927905561E7,1704294.012689568,3013342.8710994944,2005338.918491498,5.710735369421913E7,874132.0845377605,6.309066956823108E7,1.9302341638488047E7,1795252.2050034467,1.5420971968284698E7
Kawerau District,2021-2022,314307.767578125,7859.728515625,15718.3173828125,,65735.27084673714,,38829.31129365809,31429.7041015625,7857.92431640625,150713.09563227632
Ōpōtiki District,2021-2022,1.6131223483304612E7,236735.42138671875,251880.11865234375,207281.32855392157,8752224.357314646,157710.376953125,3769000.550480622,632727.0501933977,339415.89794921875,3314284.0947284773
Gisborne District,2021-2022,1.1563374085888481E8,2367408.4741210938,3354432.9873046875,1.5654188616699219E7,9.229025567325176E7,156722.26123046875,4.966834037231924E7,1551917.8754882812,4275251.755501302,8.742019666606924E7
Hastings District,2021-2022,8.916513051254404E7,1850352.5673828125,923879.0227424173,3.0581236138809744E7,9.026185477737632E7,2236265.3120117188,1.343466229797392E8,6680382.871526501,2997295.725057445,3.568921078789446E7
Napier City,2021-2022,1032364.5397384344,16004.720147824755,192629.2373046875,834727.7678864123,2164448.226910999,7706.4453125,2657159.885251991,40253.795260799634,63662.99966681985,1900556.874511719
Central Hawke's Bay District,2021-2022,4.255679469619908E7,191508.578125,1867059.7734375,4.2794613831085324E7,1.0749701039850454E8,275599.03466796875,1.0867447872118947E8,1982618.1585037534,1660997.8168945312,3.999011677790096E7
Wairoa District,2021-2022,5.312396965730125E7,318491.0908203125,1567343.2177734375,6558020.808453968,5.5823636980878524E7,388208.92724609375,2.980832324407169E7,990222.6970473346,1351126.507019761,2.5169503490297563E7
Tasman District,2021-2022,7.90096206314281E7,1709522.8486328125,1371460.1103515625,7707630.584472656,5.3135168150878906E7,630375.0205078125,2.5520886887695312E7,892812.591796875,1.0557268312568933E7,1.360612587890625E7
Nelson City,2021-2022,4962893.152293963,210628.8161305147,97663.91552734375,15003.046875,8649255.918575749,45088.63134765625,615784.39453125,,724848.4255170036,205942.59557674633
Marlborough District,2021-2022,6.042032448181296E7,1167362.6772460938,1634795.5863683363,1.6432010038085938E7,6.298159901274702E7,1858474.2749674479,3.6187439144801244E7,3726514.84224686,7941581.107745481,3.117706300113741E7
Kaikoura District,2021-2022,4784264.728764553,88688.81591796875,370176.02099609375,3869896.509388404,5706783.273772595,358607.469921875,1.6903610567130055E7,484466.52895220584,1622006.5214690564,8757641.89633119
Far North District,2021-2022,9.648853156208448E7,1.130398000390625E7,1.561099670379519E7,1.3194708110351562E7,6.40186989344133E7,4128398.499697457,3.4145408237739354E7,2193332.7138671875,7623093.602975643,7.207811869708563E7
Whangarei District,2021-2022,3.084204123116575E7,153962.36474609375,593161.651194853,1.0926258799153646E7,2.2540887634325217E7,59300.24299938726,1.5644095758390779E7,870273.8778492648,1020335.8779296875,9.358334156274703E7
Kaipara District,2021-2022,6.281054864898897E7,1720118.9774739584,3541902.6942210477,4876345.55859375,2.3955282897694547E7,241835.34423828125,1.3389336204011567E7,2162334.2406556373,4031690.1322054993,6.363856738621132E7
Auckland,2021-2022,5.216754201040518E7,4456568.0594477635,1.1312900805482153E7,7588764.350936351,2.9439068400310203E7,2062843.608614813,7170325.100097656,1157609.1728515625,1.1363712548393458E7,4.338270764078776E7
Waitaki District,2021-2022,6.786502093777956E7,2.9805902553439032E7,2520694.64810049,7.88530612614794E7,9.375278161094898E7,2.7753533895502068E7,4.7265786568355545E7,2622066.3318474265,9635601.13307866,1.442870263029067E7
Central Otago District,2021-2022,9.253586998310164E7,3.421264254564376E7,1.1830015852539062E7,4.3689541134622015E7,9.600853388641429E7,3.341206943059896E7,1.2685795696777344E7,234359.6388480392,7722837.9462890625,1.3445072989746094E7
Queenstown-Lakes District,2021-2022,2.2024477058136106E7,9998157.846762026,2416303.3935546875,8181300.913775275,1.7693678475218292E7,7552792.669433594,2038664.7729492188,184886.73046875,3283987.2426757812,2692826.094427849
Dunedin City,2021-2022,3.2389898785642616E7,2056682.6813342525,293278.78369140625,2.9865712636703424E7,4.094184192759269E7,1.4523119098581113E7,1.3165616051416973E7,1363078.3724073223,7583293.58822955,8643159.474609375
Clutha District,2021-2022,2.076595813404814E8,4841373.549879366,2683729.306763174,6.395939758819701E7,1.1246417292889476E8,4.340991530970626E7,2.604287443052045E7,3764158.886249617,9721854.676824832,9580296.028668812
Southland District,2021-2022,4.324642694407782E8,1.9811467998824295E7,8519475.868164062,1.6255505581263405E8,2.5251491986632198E8,9.063275051771216E7,2.288888368009919E7,5422514.770019531,3.0338522491078813E7,2.762173730517578E7
Gore District,2021-2022,5.5075440281587005E7,1448635.2355430452,993445.974609375,2.648714381601754E7,3.317990904893344E7,1.0463069577707566E7,4006781.9982230393,547312.5687346814,3522073.786408548,1804792.1954503676
Invercargill City,2021-2022,1.3664562124965532E7,151531.732421875,52358.08642578125,1693037.8143095127,3960847.122487745,2775613.8145029102,34437.451171875,296205.140625,110308.14013671875,34457.84033203125
