ta_name,year_period,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
Ashburton District,2019-2020,3.066731928846699E8,3.0472983200536154E7,1387519.68359375,4.680800430659849E7,1.681713416846087E7,2.444002873051011E8,8.506011872275391E7,2.712123680545726E7,1.823242172376724E8,2.0137044148384464E8
Timaru District,2019-2020,1.0635955086368337E8,1.1469929073420268E7,2448963.42578125,8437118.135150507,4679108.916421569,6.5395334067668125E7,2.7279854277709484E7,4118887.046861596,5.700658771037644E7,1.125180812202627E8
Mackenzie District,2019-2020,7.882894474317555E7,6221254.845833333,936550.1650026807,3.683012650824716E7,6749237.48671109,3.837697290637829E7,1.9334338405696616E7,2570262.3911132812,4.395421474034735E7,5.7815389547476254E7
Waimate District,2019-2020,1.1138316847128905E8,1.3216458841006052E7,4067888.061919807,7437535.695689722,7305123.4268344045,5.309190426981656E7,4.182214306946998E7,4029311.679074755,3.8477385233415686E7,1.97454348117963E8
Hurunui District,2019-2020,7.51075480501168E7,1332103.7036132812,9484677.578613281,2.361621973155254E7,8569204.116210938,1.3042895427498851E7,3.358330194756204E8,2.183342984641544E7,4.082929290728976E7,1.598806290703738E8
Waimakariri District,2019-2020,4.524822097101141E7,3112000.748828125,502190.537109375,6286056.452914368,4172638.453103937,2.2013711982140392E7,2.36234865209061E7,7267357.952347579,2.9264590508025046E7,5.86299983949774E7
Christchurch City,2019-2020,2.147175148962929E7,2847224.8501225496,50608.7919921875,4435990.434612438,1862119.6844860602,3104353.414744179,3818422.9907437195,953486.4921243107,9808905.268964462,1.8455574012205116E7
Selwyn District,2019-2020,1.6444764892137334E8,1.5253737112959554E7,2082805.3471679688,3.7004311219870165E7,1.6529935123169424E7,8.751583040066634E7,6.732696686152725E7,2.198615374390701E7,1.0029508862186547E8,1.4464620228912187E8
Ruapehu District,2019-2020,3.520154683427734E7,294217.29150390625,8506498.056678921,2667848.001641008,2818535.453125,1.2349323496896062E7,5.3075218002985224E7,4137212.572265625,1.7854444335290287E7,1.7748294974731926E7
Thames-Coromandel District,2019-2020,6970830.7591854315,79761.55553768383,948650.4835018383,7949.01318359375,87863.9345703125,765296.5886010263,4.352879019438572E7,159850.15625,2346112.3232096354,3955806.535726869
Hauraki District,2019-2020,2189529.9994025733,47649.29248046875,2062216.9754404104,166882.8486328125,87365.35009765625,3970553.3751436123,2.7758007300134044E7,182651.78857421875,5895257.065651809,2.144708615636297E7
Waikato District,2019-2020,2.4955076159614354E7,855573.0166015625,8524927.347324984,1192198.9471737132,3325278.198152191,1.3128791073776424E7,5.386534976760684E7,8006859.2726868875,3.270151334113434E7,1.1516588454712392E8
Matamata-Piako District,2019-2020,5934359.203228401,181525.875,1488116.6492474724,276317.0478515625,331459.13232421875,5527655.293566177,8032956.14425743,702894.8930664062,1.9019319705696613E7,3.166313996290977E7
Hamilton City,2019-2020,85024.74406211705,,637272.3044385724,15786.1298828125,47344.0556640625,184116.91415824142,275013.23204273893,353366.47282858455,448491.29121476714,2234111.8098039217
Waipa District,2019-2020,2865173.890134804,31497.36376953125,1959205.909729243,118183.4560546875,303361.47326516546,4356047.115253523,1.333522940068551E7,1201924.2086550244,8278616.362272137,4.390355810784699E7
Ōtorohanga District,2019-2020,3954779.3351849723,39258.3525390625,1212079.2885512407,47065.0224609375,517246.12513595284,2571228.204823453,9245286.990764782,739860.0630935968,4842680.863246784,1.3083128797393918E7
South Waikato District,2019-2020,3.5662809580805756E7,1394952.4379882812,3772275.335717295,815341.8955078125,1810428.9617436426,5825529.180600873,5.847030519639054E7,1788084.0502929688,4.02241232927409E7,2.1307585852372475E7
Waitomo District,2019-2020,1.4586153106791895E7,305214.25341796875,2885635.869355086,156632.140625,1084965.6210477941,2854638.9951171875,1.7115484945235908E7,1404247.2850241268,4708566.441760493,1.1355916792804075E7
Taupo District,2019-2020,1.2344544329237707E8,2965224.1176757812,2.2766629674419805E7,2580109.7750842525,6282710.187902113,1.9707993734880514E7,1.7065778964177582E8,5973680.473144531,1.2973944739368491E8,5.756529861635455E7
Western Bay of Plenty District,2019-2020,1.8683225180049405E7,384990.5831341911,4146704.2345415903,359103.02294921875,420525.20079273893,2065990.166505821,3.1388184912894458E7,639129.4965820312,2.08992160658318E7,1.4309730737306602E7
