ta_name,year_period,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
Ashburton District,2020-2021,4.446844015741901E8,1.9521988165979244E7,1.128163808983609E7,2.6032806475733188E8,1.5246531281205963E7,6.696675231467717E7,1.268289859960478E8,3.3260742462074906E7,2.223646229805396E8,5.7176761578843065E7
Timaru District,2020-2021,2.1581120388802472E8,4901965.597321155,1969091.6408643536,5.730491070300436E7,4240896.626024433,2.8527212684834562E7,2.1752376292938113E7,4560499.915929458,9.146420038853401E7,1.0256086211864278E7
Mackenzie District,2020-2021,1.1185399124307598E8,5753682.944671032,6713064.7783203125,4.063400453656365E7,1.762064215542279E7,7.931839048745787E7,1.134778903887676E7,1.1001557807770373E7,1.0466698628319737E8,5133758.622918582
Waimate District,2020-2021,2.3923300665875092E8,5774222.806675091,3090735.9590016087,3.999337722555338E7,5875327.9832567405,8793179.261387484,3.259546300753868E7,3153244.810747932,1.1192500311008538E8,1.0597802125601256E7
Hurunui District,2020-2021,5.420325147780981E8,7125222.49536803,1.772164465234375E7,7.166505823607728E7,3091853.0231770836,5895184.800423177,7053534.457508042,1.9098388274168964E7,8.499620991590457E7,7.525918435629787E7
Waimakariri District,2020-2021,1.7158527681941444E8,3122373.230271523,2207129.86389591,4.3827706398487285E7,2608901.5868144915,5539550.844125307,1.0057973947861135E7,3357203.1821863516,4.2513413962423414E7,1.609225521773897E7
Christchurch City,2020-2021,9376565.581405101,256423.72347196692,1658007.0153320313,7404545.745348882,2363087.3848920036,6713650.966549862,1111181.3097598804,5577091.738172105,3.582928453830807E7,970609.2592773438
Selwyn District,2020-2021,2.6823465527803317E8,1.6159986251893766E7,1.0696130292193247E7,1.1562902125659083E8,1.3522560066186044E7,3.56251273473001E7,4.590102756516735E7,2.6314190691831343E7,1.465765222020412E8,3.404211503426203E7
Ruapehu District,2020-2021,1.724937151749962E7,8356572.4032915905,2.406317508643344E7,2.918203947894071E7,1073209.0004882812,596556.2744140625,3019212.218160233,4039647.3517252603,2.961032479027267E7,2.86798770618413E7
Thames-Coromandel District,2020-2021,1043062.186573223,979547.1640625,4376151.333231848,8284541.641653263,7975.45166015625,23908.98291015625,4701337.179608992,191419.92724609375,7430912.8818359375,2.1083559463597197E7
Hauraki District,2020-2021,1.0282060866804535E7,4736918.267815563,1096427.1070810354,3465651.561743643,15886.28125,,5125279.275612746,23833.0693359375,2499841.213363588,1.1834275024318323E7
Waikato District,2020-2021,5.253581295239737E7,1.6184844364545036E7,1.7187778975440413E7,2.2333252450561047E7,1703033.9544136797,1293171.2348632812,2.0598127195942476E7,4614051.421346508,2.342534749575291E7,3.906412997053271E7
Matamata-Piako District,2020-2021,2.0860964292844284E7,1.0096425608136106E7,5174550.163440181,2647734.1461320464,268271.9013671875,418045.8115234375,7424043.570674403,466250.9857019761,5398126.586559819,9019397.956929764
Hamilton City,2020-2021,1184724.237884881,181133.4882544424,389699.1470358456,505260.58462967223,39457.92529296875,7887.6435546875,696703.9961894915,78866.90087890625,68044.87540977329,891091.6049421721
Waipa District,2020-2021,2.0641488235255826E7,2557911.8074371936,5573438.837321922,2475877.402581189,110245.021484375,15748.9287109375,7175450.501311658,204813.5419921875,2548818.5559187345,1.8358547836343445E7
Ōtorohanga District,2020-2021,1.2109145687277878E7,1419204.1005744485,4491055.874820007,3526346.997960708,70660.2880859375,86227.498046875,1938866.0432540595,204007.9496897978,3860316.5737017463,9223083.004316023
South Waikato District,2020-2021,1.728081073882889E7,1.1026500767807903E7,2.7276191928986676E7,3.549098536113855E7,23506.6611328125,180352.4111328125,9973091.184066713,266551.908203125,2.2048665624731924E7,2.5149253573920034E7
Waitomo District,2020-2021,9821623.922884114,187950.15234375,9528714.966735601,1.4893176990226716E7,415199.20166015625,625414.8129882812,2604060.843952972,1919110.3012695312,9532548.138338696,1.252492533338695E7
Taupo District,2020-2021,5.309603561694814E7,3.705411731613435E7,5.438747416361826E7,1.368813656863626E8,1329298.7827148438,3211003.0903320312,3.804204356579925E7,6411636.400065104,8.753331989980277E7,1.1610739951515013E8
